kind,g,a,c,d_eff,score,status
REAL,0.021806853582554516,1.0,0.010687022900763359,0.00041596196919138823,0.2582274596131273,DENY
SWAP,0.021806853582554516,1.0,0.010687022900763359,0.00041596196919138823,0.2582274596131273,DENY
SHUFFLE,0.021806853582554516,1.0,0.010687022900763359,0.00041596196919138823,0.2582274596131273,DENY
REAL,0.018796992481203006,1.0,0.009041591320072333,0.0006615798526882194,0.25712504091349087,DENY
SWAP,0.018796992481203006,1.0,0.009041591320072333,0.0006615798526882194,0.25712504091349087,DENY
SHUFFLE,0.018796992481203006,1.0,0.009041591320072333,0.0006615798526882194,0.25712504091349087,DENY
REAL,0.0045662100456621,1.0,0.0022271714922048997,0.00010651689745327781,0.25172497460883003,DENY
SWAP,0.0045662100456621,1.0,0.0022271714922048997,0.00010651689745327781,0.25172497460883003,DENY
SHUFFLE,0.0045662100456621,1.0,0.0022271714922048997,0.00010651689745327781,0.25172497460883003,DENY
REAL,0.10810810810810811,1.0,0.05089058524173028,0.005627324329614406,0.2911565044198632,DENY
SWAP,0.10810810810810811,1.0,0.05089058524173028,0.005627324329614406,0.2911565044198632,DENY
SHUFFLE,0.10810810810810811,1.0,0.05089058524173028,0.005627324329614406,0.2911565044198632,DENY
REAL,0.025454545454545455,0.9963636363636363,0.012750455373406194,4.636529226693161e-05,0.2586537506209637,DENY
SWAP,0.025454545454545455,0.9963636363636363,0.012750455373406194,4.636529226693161e-05,0.2586537506209637,DENY
SHUFFLE,0.025454545454545455,0.9963636363636363,0.012750455373406194,4.636529226693161e-05,0.2586537506209637,DENY
REAL,0.014893617021276596,1.0,0.007121057985757884,0.0005968917999758071,0.2556528917017526,DENY
SWAP,0.014893617021276596,1.0,0.007121057985757884,0.0005968917999758071,0.2556528917017526,DENY
SHUFFLE,0.014893617021276596,1.0,0.007121057985757884,0.0005968917999758071,0.2556528917017526,DENY
REAL,0.021604938271604937,1.0,0.010526315789473684,0.0005247723414107115,0.2581640066006224,DENY
SWAP,0.021604938271604937,1.0,0.010526315789473684,0.0005247723414107115,0.2581640066006224,DENY
SHUFFLE,0.021604938271604937,1.0,0.010526315789473684,0.0005247723414107115,0.2581640066006224,DENY
REAL,0.28342245989304815,0.8502673796791443,0.1531791907514451,0.022935921609842043,0.32745123798336995,DENY
SWAP,0.28342245989304815,0.8502673796791443,0.1531791907514451,0.022935921609842043,0.32745123798336995,DENY
SHUFFLE,0.28342245989304815,0.8502673796791443,0.1531791907514451,0.022935921609842043,0.32745123798336995,DENY
REAL,0.12135922330097088,1.0,0.05668934240362812,0.006995706083851981,0.2962610679471127,DENY
SWAP,0.12135922330097088,1.0,0.05668934240362812,0.006995706083851981,0.2962610679471127,DENY
SHUFFLE,0.12135922330097088,1.0,0.05668934240362812,0.006995706083851981,0.2962610679471127,DENY
