kind,g,a,c,r,k,score,status
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.735294,0.447059,DENY
REAL,0.120301,1.000000,0.059480,0.357143,0.551020,0.417589,DENY
SWAP,0.117647,0.977941,0.059480,0.642857,0.551020,0.469789,DENY
SHUFFLE,0.120301,1.000000,0.059480,0.416667,0.043103,0.327910,DENY
IDENTITY,0.120301,1.000000,0.060150,0.500000,1.000000,0.536090,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.551020,0.410204,DENY
REAL,0.047210,1.000000,0.023404,0.421053,0.571429,0.412619,DENY
SWAP,0.046414,0.983122,0.023404,0.578947,0.571429,0.440663,DENY
SHUFFLE,0.047210,1.000000,0.023404,0.445455,0.065574,0.316329,DENY
IDENTITY,0.047210,1.000000,0.023605,0.500000,1.000000,0.514163,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.571429,0.414286,DENY
REAL,0.071895,1.000000,0.033537,0.500000,0.698630,0.460812,DENY
SWAP,0.062857,0.874286,0.033537,0.500000,0.698630,0.433862,DENY
SHUFFLE,0.071895,1.000000,0.033537,0.428571,0.070000,0.320801,DENY
IDENTITY,0.071895,1.000000,0.035948,0.500000,1.000000,0.521569,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.698630,0.439726,DENY
REAL,0.025445,0.458015,0.017452,0.465347,0.412214,0.275695,DENY
SWAP,0.055556,1.000000,0.017452,0.534653,0.412214,0.403975,DENY
SHUFFLE,0.025445,0.458015,0.017452,0.472222,0.065041,0.207635,DENY
IDENTITY,0.025445,1.000000,0.012723,0.500000,1.000000,0.507634,DENY
STRIP_CTX,0.000000,0.458015,0.000000,0.500000,0.412214,0.274046,DENY
REAL,0.000000,0.968627,0.000000,0.500000,0.598214,0.413368,DENY
SWAP,0.000000,1.000000,0.000000,0.500000,0.598214,0.419643,DENY
SHUFFLE,0.000000,0.968627,0.000000,0.500000,0.072581,0.308242,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,0.968627,0.000000,0.500000,0.598214,0.413368,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.555556,0.411111,DENY
SWAP,0.000000,0.812500,0.000000,0.500000,0.555556,0.373611,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.043860,0.308772,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.555556,0.411111,DENY
REAL,0.023077,0.915385,0.012048,0.471698,0.575000,0.399442,DENY
SWAP,0.025210,1.000000,0.012048,0.528302,0.575000,0.428112,DENY
SHUFFLE,0.023077,0.915385,0.012048,0.476190,0.071429,0.299626,DENY
IDENTITY,0.023077,1.000000,0.011538,0.500000,1.000000,0.506923,DENY
STRIP_CTX,0.000000,0.915385,0.000000,0.500000,0.575000,0.398077,DENY
REAL,0.046667,1.000000,0.021672,0.500000,0.670455,0.447759,DENY
SWAP,0.040462,0.867052,0.021672,0.500000,0.670455,0.419928,DENY
SHUFFLE,0.046667,1.000000,0.021672,0.437500,0.041667,0.309501,DENY
IDENTITY,0.046667,1.000000,0.023333,0.500000,1.000000,0.514000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.670455,0.434091,DENY
REAL,0.085714,0.639286,0.052288,0.410714,0.457143,0.329029,DENY
SWAP,0.134078,1.000000,0.052288,0.589286,0.457143,0.446559,DENY
SHUFFLE,0.085714,0.639286,0.052288,0.415730,0.050725,0.248749,DENY
IDENTITY,0.085714,1.000000,0.042857,0.500000,1.000000,0.525714,DENY
STRIP_CTX,0.000000,0.639286,0.000000,0.500000,0.457143,0.319286,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.784314,0.456863,DENY
SWAP,0.000000,0.920000,0.000000,0.500000,0.784314,0.440863,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.068182,0.313636,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.784314,0.456863,DENY
REAL,0.121951,1.000000,0.052356,0.500000,0.600000,0.454861,DENY
SWAP,0.091743,0.752294,0.052356,0.500000,0.600000,0.399279,DENY
SHUFFLE,0.121951,1.000000,0.052356,0.342105,0.040404,0.311363,DENY
IDENTITY,0.121951,1.000000,0.060976,0.500000,1.000000,0.536585,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.600000,0.420000,DENY
REAL,0.056180,1.000000,0.023148,0.500000,0.675325,0.450931,DENY
SWAP,0.039370,0.700787,0.023148,0.500000,0.675325,0.387726,DENY
SHUFFLE,0.056180,1.000000,0.023148,0.394737,0.027523,0.300318,DENY
IDENTITY,0.056180,1.000000,0.028090,0.500000,1.000000,0.516854,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.675325,0.435065,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.654321,0.430864,DENY
SWAP,0.000000,0.848485,0.000000,0.500000,0.654321,0.400561,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.034783,0.306957,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.654321,0.430864,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.687500,0.437500,DENY
SWAP,0.000000,0.875000,0.000000,0.500000,0.687500,0.412500,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.044643,0.308929,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.687500,0.437500,DENY
REAL,0.053846,1.000000,0.024221,0.473684,0.600000,0.430350,DENY
SWAP,0.044025,0.817610,0.024221,0.526316,0.600000,0.402434,DENY
SHUFFLE,0.053846,1.000000,0.024221,0.465517,0.037383,0.316194,DENY
IDENTITY,0.053846,1.000000,0.026923,0.500000,1.000000,0.516154,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.600000,0.420000,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.822917,0.464583,DENY
SWAP,0.000000,0.922535,0.000000,0.500000,0.822917,0.449090,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.055118,0.311024,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.822917,0.464583,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.552632,0.410526,DENY
SWAP,0.000000,0.725490,0.000000,0.500000,0.552632,0.355624,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.040000,0.308000,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.552632,0.410526,DENY
REAL,0.006579,1.000000,0.003268,0.481481,0.432692,0.384804,DENY
SWAP,0.006494,0.987013,0.003268,0.518519,0.432692,0.389597,DENY
SHUFFLE,0.006579,1.000000,0.003268,0.487179,0.059829,0.311371,DENY
IDENTITY,0.006579,1.000000,0.003289,0.500000,1.000000,0.501974,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.432692,0.386538,DENY
REAL,0.047826,1.000000,0.022680,0.500000,0.763441,0.466789,DENY
SWAP,0.043137,0.901961,0.022680,0.500000,0.763441,0.446244,DENY
SHUFFLE,0.047826,1.000000,0.022680,0.490741,0.058333,0.323916,DENY
IDENTITY,0.047826,1.000000,0.023913,0.500000,1.000000,0.514348,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.763441,0.452688,DENY
REAL,0.012270,1.000000,0.005848,0.479167,0.605839,0.420625,DENY
SWAP,0.011173,0.910615,0.005848,0.520833,0.605839,0.410862,DENY
SHUFFLE,0.012270,1.000000,0.005848,0.480519,0.062893,0.312306,DENY
IDENTITY,0.012270,1.000000,0.006135,0.500000,1.000000,0.503681,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.605839,0.421168,DENY
REAL,0.042683,1.000000,0.020649,0.444444,0.485981,0.398752,DENY
SWAP,0.040000,0.937143,0.020649,0.555556,0.485981,0.407866,DENY
